"Structure"	"New_Structure"
"Tr_00022"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavubrqcnponl"
"Tr_00023"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavubrqcnponl"
"Tr_00024"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavubrqcnonm"
"Tr_00025"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavubrqcnonl"
"Tr_00026"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavubrqcnonl"
"Tr_00027"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdcavubrql"
"Tr_00028"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"gdcavubra"
"Tr_00029"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavurqcnonm"
"Tr_00030"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavurqcnonl"
"Tr_00031"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavurqcnonl"
"Tr_00032"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavurqcnponm"
"Tr_00033"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavurqcnponl"
"Tr_00034"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavurqcnponl"
"Tr_00035"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdcavurqcnp"
"Tr_00036"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdcavurql"
"Tr_00037"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93006733-93006851"	"gdcavura"
"Tr_00038"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdcavubrqcnp"
"Tr_00039"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavubrqcnponm"
"Tr_00040"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavubrqcnponl"
"Tr_00041"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavubrqcnponl"
"Tr_00042"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavubrqcnonm"
"Tr_00043"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavubrqcnonl"
"Tr_00044"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavubrqcnonl"
"Tr_00045"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdcavubrql"
"Tr_00046"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"gdcavubra"
"Tr_00047"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdcavusbrqcnp"
"Tr_00048"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavusbrqcnponm"
"Tr_00049"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavusbrqcnponl"
"Tr_00050"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavusbrqcnponl"
"Tr_00051"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavusbrqcnonm"
"Tr_00052"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavusbrqcnonl"
"Tr_00053"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavusbrqcnonl"
"Tr_00054"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdcavusbrql"
"Tr_00055"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"gdcavusbra"
"Tr_00056"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavuqcnonm"
"Tr_00057"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavuqcnonl"
"Tr_00058"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavuqcnonl"
"Tr_00059"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavuqcnponm"
"Tr_00060"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavuqcnponl"
"Tr_00061"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavuqcnponl"
"Tr_00062"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdcavuqcnp"
"Tr_00063"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36216364-36216571 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcabrqcnonm"
"Tr_00064"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36216364-36216571 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcabrqcnonl"
"Tr_00065"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36216364-36216571 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcabrqcnonl"
"Tr_00066"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36216364-36216571 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcabrqcnponm"
"Tr_00067"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36216364-36216571 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcabrqcnponl"
"Tr_00068"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36216364-36216571 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcabrqcnponl"
"Tr_00069"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36216364-36216571 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdcabrql"
"Tr_00070"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36216364-36216571 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"gdcabra"
"Tr_00071"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:92972432-92972745"	"gdcavl"
"Tr_00072"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavbrqcnonm"
"Tr_00073"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavbrqcnonl"
"Tr_00074"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavbrqcnonl"
"Tr_00075"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavbrqcnponm"
"Tr_00076"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavbrqcnponl"
"Tr_00077"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavbrqcnponl"
"Tr_00078"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdcavbrqcnp"
"Tr_00079"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdcavbrql"
"Tr_00080"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"gdcavbra"
"Tr_00081"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavurqcnonm"
"Tr_00082"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavurqcnonl"
"Tr_00083"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavurqcnonl"
"Tr_00084"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavurqcnponm"
"Tr_00085"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavurqcnponl"
"Tr_00086"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavurqcnponl"
"Tr_00087"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdcavurqcnp"
"Tr_00088"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdcavurql"
"Tr_00089"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93006733-93006851"	"gdcavura"
"Tr_00090"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavubrqcnponm"
"Tr_00091"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavubrqcnponl"
"Tr_00092"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavubrqcnponl"
"Tr_00093"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavubrqcnonm"
"Tr_00094"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavubrqcnonl"
"Tr_00095"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdcavubrql"
"Tr_00096"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"gdcavubra"
"Tr_00097"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavurqcnonm"
"Tr_00098"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavurqcnonl"
"Tr_00099"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavurqcnonl"
"Tr_00100"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcavurqcnponm"
"Tr_00101"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcavurqcnponl"
